"id","no","province","district","village_name","latitude","longitude","area_square_meter","hectares","shape_length","population"
2784,9198,"Ghazni","Andar","Bar Khadokhel","33.347790","68.368490","715.62302400","71562.30240000","1.30813216",2056
2794,26898,"Parwan","Kohi Safi","Bar Mandikol","34.710690","69.523680","578.79951150","57879.95115000","1.23897155",9523
2803,11106,"Ghazni","Qarabagh","Bar Nawrozkhel","33.143800","68.090590","1570.02690400","157002.69040000","2.02625370",48005
2015,25233,"Paktika","Jani Khel","Babukhel","32.700990","68.292390","962.81137560","96281.13756000","1.47485705",30543
2029,21326,"Logar","Baraki Barak","Baburi","33.958390","68.972600","275.70743530","27570.74353000","0.84243568",36340
2035,2233,"Badghis","Jawand","Bacha Kushak","35.095500","64.488300","7146.26802700","714626.80270000","4.61455838",42396
2043,7201,"Daykundi","Shahristan","Badagal","33.690290","66.639790","1963.34655500","196334.65550000","2.89261492",23965
2052,15077,"Hirat","Injil","Badallu","34.326300","62.285660","190.29691960","19029.69196000","0.58329807",14523
2066,30380,"Zabul","Mizan","Badamak Kalay","32.348450","66.510960","1107.90897000","110790.89700000","1.52103380",8777
2075,9659,"Ghazni","Giro","Baday","32.973290","68.356090","866.79378510","86679.37851000","1.51072877",20236
2079,5286,"Bamyan","Waras","Baddeh","34.184390","66.754630","2969.25806500","296925.80650000","3.02383066",43404
2088,21110,"Laghman","Mihtarlam","Badiabad","34.737690","70.284100","720.11729570","72011.72957000","1.56121571",18238
2094,10497,"Ghazni","Nawa","Badinkhel","32.126790","67.933400","1659.59783700","165959.78370000","2.05965314",21208
2104,26516,"Panjsher","Bazarak","Badkol","35.330000","69.550000","377.60785250","37760.78525000","0.88632276",22200
2124,2464,"Badghis","Qadis","Badrawak (2)","34.912190","63.482110","3385.34990100","338534.99010000","3.48240524",10558
2132,18762,"Kandahar","Spin Boldak","Badurza'i","31.185300","66.352100","5644.20076100","564420.07610000","3.50349977",33519
2141,14449,"Hirat","Adraskan","Baftak","33.580700","62.802010","10070.22117000","1007022.11700000","6.80518196",16976
2159,28736,"Takhar","Dashti Qala","Bagh Bayan","37.211370","69.494380","280.38483740","28038.48374000","0.90515650",29367
2166,9209,"Ghazni","Andar","Bagha","33.354890","68.401390","715.62302400","71562.30240000","1.30813216",9395
2183,2523,"Badghis","Qala-I- Naw","Baghak (2)","34.958500","63.140510","760.05249480","76005.24948000","1.51711740",15532
2204,5714,"Bamyan","Yakawlang","Baghalak (1)","34.791630","66.880420","6704.06481900","670406.48190000","4.56271540",16322
2214,15743,"Hirat","Shindand","Baghbagha","33.307790","62.285600","6762.97916800","676297.91680000","5.77895722",40158
2221,30262,"Zabul","Kakar","Baghchahar","32.914230","67.088180","1080.88974300","108088.97430000","1.73126371",8890
2229,18161,"Kandahar","Nesh","Baghe Agha","32.350690","65.621090","1302.72456700","130272.45670000","1.80173092",30379
2241,22376,"Maydan Wardak","Jalrez","Baghe Langkarez","34.450980","68.569580","1094.27622300","109427.62230000","1.70188980",14515
2251,7289,"Daykundi","Shahristan","Baghe Pir","33.755390","66.639210","1963.34655500","196334.65550000","2.89261492",14906
2260,3170,"Baghlan","Nahrin","Baghe Tordalay","36.074170","69.056400","946.05464200","94605.46420000","1.48566098",49652
2266,26048,"Paktya","Dand Patan","Baghelgat","33.895600","69.879490","207.01874050","20701.87405000","0.79469253",47388
2276,1528,"Badakhshan","Tashkan","Baghi Aram","36.888420","70.264740","811.60976830","81160.97683000","1.90770437",36742
2285,564,"Badakhshan","Fayzabad","Bagh-i-Gerdak","37.249680","70.607410","513.68990090","51368.99009000","1.19566605",5591
2290,29102,"Takhar","Taluqan","Bagh-i-Miri","36.740090","69.351880","875.49547560","87549.54756000","1.83413008",2641
2307,26138,"Paktya","Gardiz","Bagho Kala","33.680790","69.213290","704.84064000","70484.06400000","1.46607508",7118
2318,26745,"Parwan","Bagram","Bagram","34.967460","69.295100","354.24955960","35424.95596000","1.09713728",11162
2329,21787,"Maydan Wardak","Chaki Wardak","Bahadur Koday","34.121390","68.593990","1098.16345800","109816.34580000","1.76193871",18544
2341,30926,"Zabul","Shamulzayi","Baha'i Kalay","32.054100","67.713490","2911.66747200","291166.74720000","2.75162063",42912
2349,7980,"Farah","Pur Chaman","Baharkhan","33.040700","64.280090","6693.60148500","669360.14850000","6.60154343",15436
2360,17725,"Kandahar","Maruf","Bahlolzay(Chehelgazi)","31.398300","67.160600","3190.97530100","319097.53010000","3.44291338",18019
2373,27708,"Samangan","Dara-I-Sufi Payin","Bai Becha Kamar","36.022700","67.281880","1707.98749800","170798.74980000","2.59041170",952
2386,14517,"Hirat","Chishti Sharif","Baja","34.321290","64.125090","2575.45684600","257545.68460000","2.99561627",33605
2398,4373,"Bamyan","Panjab","Bajikushta","34.307130","66.670390","1895.78632700","189578.63270000","2.99211860",7684
2411,10595,"Ghazni","Nawur","Bakhara","33.521690","67.715080","5234.49395400","523449.39540000","4.13437227",28828
2425,21883,"Maydan Wardak","Day Mirdad","Bakhshak","34.191780","68.269480","977.01679150","97701.67915000","1.89585237",20513
2437,48,"Badakhshan","Argo","Bakht-i-Shah","36.992390","70.479210","1031.65695800","103165.69580000","1.88035696",32575
2449,2716,"Baghlan","Burka","Baklabacha-i-Asyabe Toghay","36.248170","69.104770","837.86331820","83786.33182000","1.67032209",15477
2457,2016,"Badghis","Bala Murghab","Bala Bokan","35.577890","63.634900","4491.30951800","449130.95180000","4.10316880",24610
2468,3277,"Baghlan","Puli Khumri","Bala Duri(2)","36.044900","68.672580","507.33694160","50733.69416000","1.15787246",42989
2477,21641,"Logar","Puli Alam","Bala Qal'eh-ye Wazir","34.001600","69.083500","1132.38620200","113238.62020000","1.99905941",38351
2489,17449,"Kandahar","Kandahar","Baladay (1)","31.547190","65.714000","777.88488230","77788.48823000","1.24918883",14225
2497,27242,"Parwan","Sia Gird ( Ghorbund)","Balahesar","34.948670","68.836700","898.56295820","89856.29582000","1.49891603",18801
2507,12294,"Ghor","Lal Wa Sarjangal","Bala-i-Gardanak","34.602700","66.469890","3883.31688000","388331.68800000","3.23005985",30226
